lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
bonitas,numeralis,numerus,unio,numerus,numerus
communitas,numerus,multiplico,numerus,residuus,multiplico
malignitas,pluralitas,terminus,simplicitas,identitas,terminus
lenitas,identitas,residuus,idea,communitas,series
immunitas,indiuisio,denus,identitas,perfectio,numero
laxitas,indiuisus,aggrego,unus,compleo,residuus
dignitas,dualitas,quadratus,creatura,impar,infinitus
serenitas,numeratio,irrationalis,intellectus,multiplico,quantitas
uicinitas,neutralis,aestimatio,indiuiduus,diuisio,duplico
importunitas,collectiuus,produco,trinitas,differentia,ratio
diuinitas,binarius,integrus,absolutus,aeternitas,quadratus
facilitas,collectio,regula,ordo,absolutio,absolutus
indignitas,trinitas,integro,integritas,diuido,potestas
humanitas,triplicitas,integer,multitudo,aggrego,ultimus
benignitas,multitudo,rationalis,aequalitas,singulus,subtraho
uniuersitas,trimembris,communitas,diuinitas,quartus,denarius
tenuitas,distinctio,pono,infinitus,vnus,factor
diuturnitas,distinguibilis,aequo,intellegentia,trinitas,porrò
uanitas,tantum,quantitas,forma,series,electio
affinitas,truncus,subtraho,aeternitas,septimus,aequalitas
exiguitas,suppono,identitas,esse,primus,ordo
stabilitas,coessentialis,impar,unum,antecedo,diuido
raritas,unicus,importunitas,terminus,incompositus,inchoo
uilitas,diuersitas,diuisio,compono,adiungo,primus
impunitas,pluralis,quadro,omnis,omnis,notus
aeternitas,substantiuo,unus,impar,aequalitas,addo
opportunitas,unitio,addo,multiplico,operatio,differentia
breuitas,realis,numero,diuisio,tertius,secundus
uirginitas,praedico,linea,mens,radicus,nosco
utilitas,diuersus,uniuersitas,ordino,sextus,quadro
foeditas,relatio,exemplum,produco,denarius,excessus
perpetuitas,syncategorematicus,merus,perfectio,formula,uocabulum
probitas,consignificatio,cubo,vnus,absolutus,debeo
integritas,indiuisibilitas,trinitas,multiplex,secundus,ordino
fidelitas,sabellianus,positio,absolutio,christus,valeo
mendicitas,ternarius,libet,angelus,ordo,pono
uirilitas,arius,ordo,potentia,aufero,quotiens
commoditas,persona,aequalis,consisto,iulianus,littera
amoenitas,indistinctus,minus,primus,simplicitas,identitas
uicissitudo,alietas,aequalitas,compositio,harmonia,assigno
caritas,componibilis,opportunitas,subsisto,consequor,communitas
iucunditas,simplicitas,diuido,continuatio,ordino,dictio
castitas,indiuisibilis,operatio,incompositus,competo,unus
fragilitas,multiplicitas,infinitus,scientia,irrationalis,addito
indigentia,significatio,quotiens,res,rationalis,rationalis
definitio,disparitas,quilibet,bonitas,singularis,diuisio
qualitas,germanitas,vnus,coniungo,multitudo,perfectio
inhumanitas,substantiuus,indiuiduus,mundus,infinitus,autoritas
leuitas,unio,persona,denarius,propono,incognitus
commendatio,uerbalis,vna,species,quadratus,radicus
